aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance
196837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tintinnid,Parafavella gigantea,NA,,not determined,0,NA,NA,4539900,9.901989098130076e-4,4539900,0.010362832,NA,NA,NA,NA,NA,NA
149113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Guinardia striata,NA,,not determined,0,NA,NA,4020000,8.768033695562217e-4,NA,NA,NA,NA,4020000,9.906950043734933e-4,NA,NA
149131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Eucampia zodiacus,NA,,not determined,0,NA,NA,3885000,8.473584802800799e-4,NA,NA,NA,NA,3885000,9.57425396017667e-4,NA,NA
149286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Detonula confervacea,NA,,not determined,0,NA,NA,3390000,7.393938862675601e-4,NA,NA,NA,NA,3390000,8.354368320463041e-4,NA,NA
160595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlorophyte,Pterosperma spp. ,NA,,not determined,0,NA,NA,3270000,7.13220651355434e-4,NA,NA,NA,NA,3270000,8.058638468411252e-4,NA,NA
109969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium minutum,NA,,not determined,0,NA,NA,3090000,6.73960798987245e-4,NA,NA,NA,NA,3090000,7.615043690333568e-4,NA,NA
341542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Ephemera planamembranacea,NA,,not determined,0,NA,NA,2580000,5.627245506107094e-4,NA,NA,NA,NA,2580000,6.358191819113465e-4,NA,NA
149135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Lauderia annulata,NA,,not determined,0,NA,NA,2535000,5.529095875186622e-4,NA,NA,NA,NA,2535000,6.247293124594044e-4,NA,NA
149055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Paralia sulcata,NA,,not determined,0,NA,NA,2235000,4.874765002383471e-4,NA,NA,NA,NA,2235000,5.507968494464571e-4,NA,NA
148992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Coscinodiscus concinnus,NA,,not determined,0,NA,NA,1560000,3.402520538576383e-4,NA,NA,NA,NA,1560000,3.844488076673258e-4,NA,NA
149117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Rhizosolenia pungens,NA,,not determined,0,NA,NA,1365000,2.9772054712543346e-4,NA,NA,NA,NA,1365000,3.3639270670891006e-4,NA,NA
163344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Pseudosolenia calcar-avis,NA,,not determined,0,NA,NA,1365000,2.9772054712543346e-4,NA,NA,NA,NA,1365000,3.3639270670891006e-4,NA,NA
109717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Actiniscus pentasterias,NA,,not determined,0,NA,NA,1185000,2.584606947572444e-4,NA,NA,NA,NA,1185000,2.9203322890114167e-4,NA,NA
